ID,Tên SP,Giá,Kho,Lượt Xem,Đã Bán,Chỉnh Sửa,Ảnh,Link Sản Phẩm
2239762963,Bóp viết vải chống nước ( 4 màu),26000,30,29,0,https://banhang.shopee.vn/portal/product/2239762963,https://cf.shopee.vn/file/97a45ef5045d262d961ab53fe90167dc,https://shopee.vn/product/114297327/2239762963
2153093236,Bút nước - em bé Nhật,5000,0,10,0,https://banhang.shopee.vn/portal/product/2153093236,https://cf.shopee.vn/file/d6ec9c5ca2b9d827d46d0cc38c541221,https://shopee.vn/product/114297327/2153093236
2345414757,Bóp viết Hologram Sakura,25000,5,22,0,https://banhang.shopee.vn/portal/product/2345414757,https://cf.shopee.vn/file/71e1b0d168954d8525bb763609499f93,https://shopee.vn/product/114297327/2345414757
2239746294,Hộp bút xe hơi,32000,6,64,4,https://banhang.shopee.vn/portal/product/2239746294,https://cf.shopee.vn/file/4625b4fe4e2091e1868cef9107dc6bec,https://shopee.vn/product/114297327/2239746294
2299923566,Gôm hình trái cây 1 cục - Mã 1561,3000,32,39,4,https://banhang.shopee.vn/portal/product/2299923566,https://cf.shopee.vn/file/a10a4cb360c909edbe4dd122f1ea50cd,https://shopee.vn/product/114297327/2299923566
1988592674,Bút tàng hình,13000,20,55,12,https://banhang.shopee.vn/portal/product/1988592674,https://cf.shopee.vn/file/e281bd59b5f5bb4c05a351b6fa5ca4b3,https://shopee.vn/product/114297327/1988592674
2154760579,Bút nước xanh Chìa khóa - Mã 315,5000,28,13,0,https://banhang.shopee.vn/portal/product/2154760579,https://cf.shopee.vn/file/8ab8e669fd37b359d74f33b9d7b1785c,https://shopee.vn/product/114297327/2154760579
2202005241,Móc khóa BTS - Gấu - Thỏ,15000,18,18,0,https://banhang.shopee.vn/portal/product/2202005241,https://cf.shopee.vn/file/467537b6c67369e9cf135ad7b6000ef2,https://shopee.vn/product/114297327/2202005241
2344686518,Bút nước đen kem ốc quế ( mẫu 1),5000,14,2,0,https://banhang.shopee.vn/portal/product/2344686518,https://cf.shopee.vn/file/978b42ffc10fc917cb2fe427074b1a2c,https://shopee.vn/product/114297327/2344686518
2051080333,Đồ chơi bóng rổ,6000,52,91,4,https://banhang.shopee.vn/portal/product/2051080333,https://cf.shopee.vn/file/6286f06acda7861485f438da58327e68,https://shopee.vn/product/114297327/2051080333
2202090010,Hình xăm màu ( hàng hiếm),5000,8,27,0,https://banhang.shopee.vn/portal/product/2202090010,https://cf.shopee.vn/file/9b0ede07755621d12a40f5072f630ba2,https://shopee.vn/product/114297327/2202090010
1988677264,Gôm hoạt hình,3000,0,23,4,https://banhang.shopee.vn/portal/product/1988677264,https://cf.shopee.vn/file/f17e441fd26344d4568e123d87d5ed4b,https://shopee.vn/product/114297327/1988677264
2318214448,Combo hộp bút- chuốt - thước,675000,0,0,1,https://banhang.shopee.vn/portal/product/2318214448,https://cf.shopee.vn/file/488099201b4837bf6f3dfb2921a62387,https://shopee.vn/product/114297327/2318214448
1985148612,Gôm lắp ráp,9000,21,25,2,https://banhang.shopee.vn/portal/product/1985148612,https://cf.shopee.vn/file/b87f6afd7f55a310432e0ac7452a44f0,https://shopee.vn/product/114297327/1985148612
2202824353,Bút chì bấm ngòi dài,5000,0,8,40,https://banhang.shopee.vn/portal/product/2202824353,https://cf.shopee.vn/file/ef275c73a60cfa404420b62ec93e210e,https://shopee.vn/product/114297327/2202824353
2153093224,Bút nước - súng,5000,10,13,0,https://banhang.shopee.vn/portal/product/2153093224,https://cf.shopee.vn/file/4f9d1fd59e99f69648d2a9843bf6576d,https://shopee.vn/product/114297327/2153093224
2344686525,Bút nước đen con mực,5000,50,0,0,https://banhang.shopee.vn/portal/product/2344686525,https://cf.shopee.vn/file/eac4e04be66248048ac234753ce876f1,https://shopee.vn/product/114297327/2344686525
2195124567,Bút nước đen khủng long,5000,75,5,1,https://banhang.shopee.vn/portal/product/2195124567,https://cf.shopee.vn/file/2dcc0437f3fa26958432268481d6d06e,https://shopee.vn/product/114297327/2195124567
2344686559,Bút nước đen cá voi ( mẫu 2),5000,50,0,0,https://banhang.shopee.vn/portal/product/2344686559,https://cf.shopee.vn/file/8e278090773009117c047476c6cf0b55,https://shopee.vn/product/114297327/2344686559
2161872286,Thước kẻ công chúa 15cm - Mã 8098,5000,69,24,10,https://banhang.shopee.vn/portal/product/2161872286,https://cf.shopee.vn/file/4baf8e61ac794344cdb4eff2d7d0a851,https://shopee.vn/product/114297327/2161872286
2174942319,Hộp bút xe hơi,22000,0,0,5,https://banhang.shopee.vn/portal/product/2174942319,https://cf.shopee.vn/file/83af19da53eb003d75c4ab93278c4c4d,https://shopee.vn/product/114297327/2174942319
2195124538,Bút nước đen siêu nhân,5000,33,35,12,https://banhang.shopee.vn/portal/product/2195124538,https://cf.shopee.vn/file/9cc7afc0771e1ad95d219b13891664be,https://shopee.vn/product/114297327/2195124538
2317193849,Bóp viết Simili sọc - Mã - 7229,16000,57,38,5,https://banhang.shopee.vn/portal/product/2317193849,https://cf.shopee.vn/file/6b180e2a8b3dccb4ca4dbd3fc4d2a428,https://shopee.vn/product/114297327/2317193849
2306676530,Bút chì gỗ HB Classmate - Mã CL-PC201,3000,10,16,0,https://banhang.shopee.vn/portal/product/2306676530,https://cf.shopee.vn/file/6a5e5a371330b65778159cd2b3a292aa,https://shopee.vn/product/114297327/2306676530
2046952965,Giấy note Hàn Quốc - Mẫu Đứng,5000,6,40,2,https://banhang.shopee.vn/portal/product/2046952965,https://cf.shopee.vn/file/2a0b893b4cab31b344ad8c14b17060ec,https://shopee.vn/product/114297327/2046952965
2299942871,Chì khúc thay ngòi nắp tẩy - Mã LT 1304,4000,47,13,1,https://banhang.shopee.vn/portal/product/2299942871,https://cf.shopee.vn/file/be60a5461f4c4f5ed1609a9e05a77b2b,https://shopee.vn/product/114297327/2299942871
2161872291,Thước kẻ hình thỏ và gấu - Mã 8013,5000,43,29,7,https://banhang.shopee.vn/portal/product/2161872291,https://cf.shopee.vn/file/357abec0f85c56b66b4985af74f9f27b,https://shopee.vn/product/114297327/2161872291
1985071465,Bút chì thay ngòi,4000,100,9,0,https://banhang.shopee.vn/portal/product/1985071465,https://cf.shopee.vn/file/f529cc247073c06c3ab0fef8faa011a7,https://shopee.vn/product/114297327/1985071465 
